split,scope,rows,behavior_MAE,offline_MAE,delta_vs_behavior,activation_rate,event_window_rate,mean_abs_correction,selected_rate__behavior_concat_v5,selected_rate__event_graph_dynamic_v5,selected_rate__historical_event_dual_graph_v5,selected_rate__historical_correlation_graph_v5,selected_rate__event_dtw_fusion_graph_v5
validation,global,11752620,0.0063663346244277,0.0062485494764787,-0.0001177851479489,0.0011008609144173,0.0016949412131082,6.154604042167527e-05,0.9988991390855826,0.0,0.0,0.0007082676033088,0.0003925933111085
validation,event,19920,0.8530737396636342,0.8097185859759619,-0.0433551536876722,0.6494979919678715,1.0,8.20018093000615e-05,0.3505020080321285,0.0,0.0,0.4178714859437751,0.2316265060240963
validation,stable,11732700,0.0049287787755284,0.0048844028497799,-4.437592574849883e-05,0.0,0.0,6.15113102303248e-05,1.0,0.0,0.0,0.0,0.0
test,global,11753940,0.0213853700784751,0.0211635860705941,-0.000221784007881,0.0042640170019584,0.0060745588287842,6.154868860377643e-05,0.9957359829980416,0.0,0.0,0.0026374985749459,0.0016265184270125
test,event,71400,0.7945942092716892,0.7647135986669213,-0.0298806106047678,0.7019467787114846,1.0,8.184118895511558e-05,0.2980532212885154,0.0,0.0,0.434187675070028,0.2677591036414566
test,stable,11682540,0.0166597615106126,0.0166192428969882,-4.051861362448089e-05,0.0,0.0,6.142466724154821e-05,1.0,0.0,0.0,0.0,0.0
