method,method_label,global_MAE,event_MAE,stable_MAE,global_delta_pct,event_delta_pct,stable_delta_pct
behavior_concat_v5,强行为基线,0.0213853700784751,0.7945942092716892,0.0166597615106126,0.0,0.0,0.0
event_graph_dynamic_v5,直接事件动态图,0.021505492246418,0.7873081573408295,0.0168251478788626,0.5617025447869572,-0.916952558405626,0.9927295066297637
historical_event_dual_graph_v5,历史事件双图,0.0214415525386399,0.7841290400856818,0.0167802471537785,0.26271446301202594,-1.3170457403156255,0.7232134931172141
historical_correlation_graph_v5,历史相关图,0.0214976053152605,0.7888377403591026,0.0168078644162667,0.5248225135854545,-0.724453921941226,0.8889857490442354
event_dtw_fusion_graph_v5,事件-动态时间规整融合图,0.0214484051412035,0.798711692756381,0.016698017063292,0.29475787651600527,0.5181869483375401,0.2296284532946613
target_aware_best_member_oracle_NOT_DEPLOYABLE,目标感知理论上界,0.0200216924308446,0.6868738548464666,0.0159461023283091,-6.376684820633871,-13.55664981801934,-4.283729883221232
event_deferral_v6,本文方法：事件触发修正,0.0211635860705941,0.7647135986669213,0.0166192428969882,-1.0370828611669825,-3.7604868316566176,-0.24321244694043287
