source_name,source_role,split,event_state,threshold_quantile,capacity_threshold,count,observed_risk_count,predicted_risk_count,true_positive,false_positive,false_negative,true_negative,precision,recall,missed_risk_rate,false_alarm_rate,specificity,balanced_accuracy,f1,observed_exceedance_area,captured_exceedance_area,severity_capture_rate,expected_shortage_mean,margin_mae,source_label,threshold_label
behavior_point,point_threshold_baseline,test,event,0.9,3.5037999153137207,71400,8706,7506,4821,2685,3885,60009,0.6422861710631494,0.5537560303239145,0.4462439696760855,0.042827064790889,0.957172935209111,0.7554644827665127,0.5947446336047372,26512.22217106819,17414.237805128098,0.6568381063180593,0.0753767627561125,0.7945942092716892,点预测阈值基线,q90
behavior_point,point_threshold_baseline,test,event,0.95,5.901000022888184,71400,5340,168,113,55,5227,66005,0.6726190476190477,0.0211610486891385,0.9788389513108614,0.0008325764456554,0.9991674235543444,0.5101642361217416,0.0410312273057371,9508.27197790146,319.0171937942505,0.0335515427551599,0.002461302894838,0.7945942092716892,点预测阈值基线,q95
behavior_point,point_threshold_baseline,test,event,0.98,7.288666725158691,71400,3078,29,20,9,3058,68313,0.6896551724137931,0.0064977257959714,0.9935022742040286,0.000131729164837,0.9998682708351628,0.5031829983155671,0.0128741551335693,3582.7285537719727,139.07767057418823,0.038818924874385,0.0011148489823862,0.7945942092716892,点预测阈值基线,q98
v6_interval_upper95,event_deferral_v6_interval_upper_bound,test,event,0.9,3.5037999153137207,71400,8706,43100,7953,35147,753,27547,0.1845243619489559,0.9135079255685734,0.0864920744314265,0.5606118607841261,0.4393881392158739,0.6764480323922237,0.3070300737366328,26512.22217106819,24334.4716091156,0.9178586182666691,0.9197015316632292,3.497228764636567,本文方法：区间上界风险代理,q90
v6_interval_upper95,event_deferral_v6_interval_upper_bound,test,event,0.95,5.901000022888184,71400,5340,13541,4345,9196,995,56864,0.3208773354995938,0.8136704119850188,0.1863295880149812,0.1392067817135937,0.8607932182864063,0.8372318151357125,0.4602510460251046,9508.27197790146,7716.715245246887,0.8115791453149008,0.2208680683157357,3.497228764636567,本文方法：区间上界风险代理,q95
v6_interval_upper95,event_deferral_v6_interval_upper_bound,test,event,0.98,7.288666725158691,71400,3078,4696,1969,2727,1109,65595,0.4192930153321976,0.6397011046133854,0.3602988953866146,0.0399139369456397,0.9600860630543604,0.7998935838338728,0.5065603293028041,3582.7285537719727,2169.851676464081,0.6056422204187406,0.040055551859511,3.497228764636567,本文方法：区间上界风险代理,q98
