method,MAE,RMSE,source,panel,method_label,global_MAE,event_MAE,stable_MAE,global_RMSE,event_RMSE,stable_RMSE
无图结构时序基线,0.0257024820894002,0.3353384435176849,训练结果汇总,global,,,,,,,
行为基线分支,0.0229714252054691,0.3175832033157348,训练结果汇总,global,,,,,,,
动态图结构分支,0.0218465253710746,0.3041647672653198,训练结果汇总,global,,,,,,,
事件触发修正,0.0211635860705941,0.2988647909443649,离线修正评估,global,,,,,,,
,,,,window,行为基线分支,0.0213853700784751,0.7945942092716892,0.0166597615106126,0.3003607739365829,1.7535501645517677,0.2682814147935433
,,,,window,动态图结构分支,0.021505492246418,0.7873081573408295,0.0168251478788626,0.3040541691451359,1.7634538958339177,0.2720441604572924
,,,,window,事件触发修正,0.0211635860705941,0.7647135986669213,0.0166192428969882,0.2988647909443649,1.710968726219874,0.2682808769431168
