scope,scope_zh,metric,metric_zh,baseline,event_deferral_v6,relative_reduction_pct,sample_n
global,全局,MAE,平均绝对误差,0.0213853700784751,0.0211635860705941,1.0370828611669816,11753940
event,事件窗口,MAE,平均绝对误差,0.7945942092716892,0.7647135986669213,3.760486831656615,71400
stable,稳定窗口,MAE,平均绝对误差,0.0166597615106126,0.0166192428969882,0.2432124469404314,11682540
event,事件窗口,RMSE,均方根误差,1.7535501645517677,1.710968726219874,2.4282988415548448,71400
event,事件窗口,WAPE_pct,加权绝对百分比误差,77.8786139175586,74.94999889651211,,71400
event,事件窗口,NRMSE_range_pct,按取值范围归一化均方根误差,5.804983878928226,5.6640215226437665,2.428298841554847,71400
